Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
-3.23,139.865,6.1,1971,1,10,22,14,1
-3.03,139.47,6.0,1971,1,15,7,28,1
-9.602,151.349999999999,6.3,1971,1,25,0,18,1
51.465,-177.693,6.3,1971,1,25,16,8,1
51.720999999999904,150.946,6.1,1971,1,29,21,58,1
0.647,98.83799999999991,7.1,1971,2,4,15,33,1
51.356,-176.717999999999,6.0,1971,2,7,2,29,1
-63.453,-61.215,7.0,1971,2,8,21,4,1
34.4159999999999,-118.37,6.6,1971,2,9,14,0,1
40.17,142.348999999999,6.2,1971,2,17,5,13,1
-23.8449999999999,-67.159,6.3,1971,2,21,10,35,1
-18.3679999999999,173.637,6.0,1971,3,13,15,47,1
-5.72,145.367999999999,6.3,1971,3,13,19,12,1
50.603,-129.947,6.1,1971,3,13,23,51,1
-10.9179999999999,163.686,6.4,1971,3,16,12,32,1
-22.879,-176.358,6.0,1971,3,23,2,15,1
70.99299999999991,-7.034,6.3,1971,3,23,9,26,1
41.453,79.259,6.0,1971,3,23,20,47,1
35.462,98.1659999999999,6.4,1971,3,24,13,54,1
-55.439,-129.099999999999,6.0,1971,3,26,9,8,1
11.769,95.052,6.3,1971,3,28,8,23,1
-56.244999999999905,-122.459,6.6,1971,4,4,10,15,1
2.444,129.117999999999,6.6,1971,4,7,4,59,1
-4.334,102.401,6.3,1971,4,8,7,45,1
28.308,55.59799999999991,6.0,1971,4,12,19,3,1
22.934,101.028,6.3,1971,4,28,15,32,1
51.433,-177.212999999999,7.1,1971,5,2,6,8,1
-6.609,105.373,6.1,1971,5,4,2,4,1
-39.779,-104.843999999999,6.2,1971,5,9,8,25,1
65.9,-164.0,6.1,1971,5,13,21,27,1
63.95,146.111999999999,6.6,1971,5,18,22,44,1
38.829,40.521,6.7,1971,5,22,16,43,1
32.389,92.119,6.1,1971,5,22,20,3,1
25.2289999999999,96.4429999999999,6.1,1971,5,30,15,44,1
25.19,96.51399999999991,6.1,1971,5,31,5,13,1
17.966,-69.778,6.1,1971,6,11,12,56,1
51.487,176.084,6.5,1971,6,11,13,58,1
-25.478,-69.153,6.3,1971,6,17,21,0,1
-5.249,96.933,6.4,1971,6,26,19,27,1
-6.939,129.556999999999,6.3,1971,7,8,19,7,1
-32.536,-71.15399999999991,6.6,1971,7,9,3,3,1
-32.267,-71.807,6.3,1971,7,11,9,51,1
-5.474,153.884999999999,7.9,1971,7,14,6,11,1
-5.795,153.229999999999,6.8,1971,7,14,7,16,1
-4.827,153.571,6.8,1971,7,14,7,37,1
-5.156,153.288,6.3,1971,7,14,17,38,1
-5.203,153.347,6.5,1971,7,14,18,27,1
-5.795,154.045999999999,6.3,1971,7,14,19,33,1
-4.83,153.303,6.6,1971,7,18,14,31,1
-5.688,153.8,7.1,1971,7,19,0,14,1
-5.519,150.595,6.2,1971,7,19,15,37,1
12.363,123.685,6.3,1971,7,25,12,51,1
52.151,173.095,6.3,1971,7,25,15,41,1
-4.94,153.173,7.9,1971,7,26,1,23,1
39.905,77.168,6.0,1971,7,26,1,48,1
-5.168,152.216,6.4,1971,7,26,2,24,1
-5.728,151.938999999999,6.2,1971,7,26,2,29,1
-5.626,151.407999999999,6.2,1971,7,26,15,35,1
-5.857,151.305,6.1,1971,7,26,19,15,1
-2.748,-77.429,6.3,1971,7,27,2,2,1
-5.152,152.973,6.5,1971,7,27,20,47,1
-5.142,152.88,6.4,1971,7,28,1,10,1
41.381,143.462999999999,6.6,1971,8,2,7,24,1
-0.853,-22.1299999999999,7.0,1971,8,5,1,58,1
-5.885,154.312999999999,6.0,1971,8,9,12,12,1
-5.787,152.194999999999,6.2,1971,8,9,20,1,1
-62.749,155.711,6.1,1971,8,11,14,23,1
-6.1,154.091,6.2,1971,8,13,16,48,1
-6.167,154.13,6.2,1971,8,13,20,29,1
-15.195,-178.420999999999,6.6,1971,8,14,9,2,1
49.289,155.448,6.1,1971,8,19,22,15,1
-3.974,146.059,6.3,1971,8,23,4,8,1
46.5,141.172,7.1,1971,9,5,18,35,1
46.405,141.174,6.3,1971,9,5,19,33,1
46.744999999999905,141.359,6.1,1971,9,6,13,37,1
46.381,141.146999999999,6.6,1971,9,8,11,48,1
46.250999999999905,140.938999999999,6.2,1971,9,8,16,59,1
44.438,150.860999999999,6.0,1971,9,9,23,1,1
-6.479,151.524,6.3,1971,9,14,5,20,1
39.106,143.449,6.0,1971,9,15,14,55,1
-5.916,130.652999999999,6.2,1971,9,16,6,22,1
-6.541,146.574999999999,6.3,1971,9,25,4,36,1
46.386,141.109,6.0,1971,9,27,19,1,1
-3.208,148.144,6.1,1971,9,27,22,20,1
26.765,-110.777,6.6,1971,9,30,8,17,1
-0.463,-4.841,6.0,1971,9,30,21,24,1
-14.6969999999999,171.666,6.4,1971,10,3,13,24,1
-54.348999999999904,1.844,6.3,1971,10,14,22,36,1
-54.73499999999991,146.341,6.2,1971,10,23,1,41,1
11.832,142.479999999999,6.3,1971,10,23,22,33,1
11.843,142.289999999999,6.4,1971,10,24,1,37,1
11.851,142.286,6.2,1971,10,24,2,21,1
-13.0879999999999,166.454,6.2,1971,10,25,3,46,1
-15.4979999999999,167.22,7.1,1971,10,27,17,58,1
-13.362,166.436,6.7,1971,10,28,18,0,1
51.472,179.107,6.8,1971,11,6,22,0,1
-23.398,-179.914999999999,6.0,1971,11,20,7,28,1
-11.817,166.532,6.4,1971,11,21,5,57,1
52.896999999999906,159.187,6.3,1971,11,24,19,35,1
44.828,153.342999999999,6.3,1971,12,2,17,18,1
-5.996,154.555,6.0,1971,12,4,2,25,1
49.625,-129.449999999999,6.0,1971,12,5,5,50,1
-54.381,5.908,6.1,1971,12,7,3,26,1
3.704,128.021999999999,6.0,1971,12,7,6,23,1
-22.9119999999999,-70.757,6.1,1971,12,8,16,5,1
55.996,163.294999999999,7.8,1971,12,15,8,29,1
-4.733,151.867999999999,6.0,1971,12,30,15,39,1
22.552,122.105999999999,6.9,1972,1,4,3,16,1
20.8739999999999,120.212999999999,6.3,1972,1,8,5,27,1
-55.759999999999906,-28.7199999999999,6.2,1972,1,8,11,34,1
-4.78,145.038999999999,6.6,1972,1,18,21,55,1
-4.702,144.973999999999,6.4,1972,1,19,15,0,1
36.377,70.7139999999999,6.0,1972,1,20,11,36,1
-20.483,172.846,6.3,1972,1,22,21,50,1
-13.1739999999999,166.375,7.1,1972,1,23,21,17,1
-13.0399999999999,166.398,6.2,1972,1,24,3,55,1
22.4549999999999,122.261,7.5,1972,1,25,2,6,1
