Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
-24.619025500009336,-101.68466839522306,0.0,1993,9,25,0,38,0
-54.91087421147397,31.752221870292317,0.0,1987,6,20,6,36,0
-39.39024189772144,-34.45249288076141,0.0,1970,2,13,6,2,0
-3.8708330669870037,20.01572215141769,0.0,1990,5,4,23,18,0
44.10527095316195,14.894324546486388,0.0,2014,7,4,2,56,0
-31.027738360471986,164.30300313382415,0.0,1975,2,18,0,31,0
0.6098758733967884,43.03438203657157,0.0,2014,3,16,12,53,0
-28.441396984073556,-106.12268234095113,0.0,2005,12,24,7,26,0
82.62578870513055,130.61213761192985,0.0,1984,11,7,3,53,0
6.537204069766233,27.29561054613677,0.0,1985,5,17,21,43,0
-66.37543460542611,-1.4324865531830255,0.0,2009,5,2,19,18,0
60.90873284781216,54.3284012118402,0.0,2000,8,23,0,38,0
13.915675969977457,-173.89233282172935,0.0,1984,6,3,3,6,0
36.270130488747455,-83.52848730675498,0.0,1983,2,1,5,32,0
-10.652053610800415,175.851383151502,0.0,1999,10,19,22,8,0
-47.154512825581435,174.45963474353877,0.0,1970,5,1,4,30,0
34.33267863098595,-96.3694327981453,0.0,2001,12,17,21,12,0
33.86807788624624,48.178243658966124,0.0,1983,4,28,17,8,0
-40.40859131137947,11.60397948792567,0.0,1977,8,8,9,21,0
62.318844910918315,-14.44219367313508,0.0,2006,1,12,9,29,0
-5.429193220750868,167.36036730743862,0.0,1999,7,21,18,30,0
7.703893498969933,-117.90006420704482,0.0,1977,10,23,13,44,0
-27.60947087614508,-79.73869207465476,0.0,1998,6,11,14,38,0
58.309504555241375,143.54259680713042,0.0,2013,11,7,22,57,0
-20.883472896926385,17.26150862606761,0.0,1970,1,9,7,2,0
60.44382028182187,-60.343043704987934,0.0,1975,8,30,17,9,0
82.58749850801941,-116.53028129863375,0.0,1976,10,7,2,37,0
-23.99597698845718,89.51545336098158,0.0,1993,12,30,3,23,0
19.76949153177192,-148.9996353829261,0.0,2002,5,10,6,25,0
37.13246674362507,-178.5713213126401,0.0,1987,8,14,19,44,0
39.23820155087634,43.04984879054663,0.0,2011,6,12,2,18,0
66.76197647278256,-170.39354492536853,0.0,1972,4,5,1,12,0
61.28191056111318,-100.34780996729585,0.0,1971,8,20,20,26,0
-19.11488156898516,-159.78331875824708,0.0,2000,2,8,9,57,0
73.90406386189049,-103.23957065004396,0.0,1983,1,5,14,2,0
47.17734782315193,-149.80449840612204,0.0,1972,3,4,1,40,0
19.077224838415574,-96.79949766985457,0.0,2005,12,10,2,7,0
37.96334130332362,132.85503156716103,0.0,1993,11,4,8,37,0
-54.68100264363688,10.483100778476569,0.0,1997,6,29,17,2,0
-51.658195153205085,-94.09537084663073,0.0,1979,12,13,10,39,0
25.63513672673143,-95.44242698625064,0.0,2006,1,18,17,0,0
-27.810329903094775,77.86343458543601,0.0,1970,6,21,4,56,0
31.495648343264932,-23.847215835886374,0.0,1973,1,13,23,14,0
-49.64359320256288,115.87375496537746,0.0,2003,3,21,15,1,0
-38.24704554215021,-86.71398733032999,0.0,2007,8,31,11,29,0
-14.038424916352824,-148.44185582767415,0.0,1990,11,2,7,49,0
50.71686283872121,147.00519988240936,0.0,1999,3,19,6,1,0
-49.21153739057857,51.6010976479518,0.0,1999,11,25,17,15,0
-22.665009020379223,-176.28942339760857,0.0,2005,4,19,6,19,0
-16.414349795925702,-8.273143775555155,0.0,2005,3,24,2,53,0
4.132414527940853,-61.482442044822804,0.0,1977,4,19,7,0,0
-62.04780218501428,-110.64124381182354,0.0,2014,3,5,10,12,0
-59.34591927203225,-17.0573685416756,0.0,2004,6,27,11,26,0
-63.008784105304095,125.35530463391038,0.0,2010,9,16,16,26,0
59.50601503448168,109.27096213619004,0.0,2006,10,29,15,50,0
28.469964697817005,51.93059785782489,0.0,1982,9,8,16,38,0
15.834321633486539,44.01002705230695,0.0,1983,3,23,13,12,0
-31.418928189784857,-3.0732821276363893,0.0,1986,12,5,7,1,0
78.49980711012627,48.307013574384285,0.0,2008,12,29,17,15,0
-44.535246406714485,109.08786175153037,0.0,1996,3,21,8,56,0
-6.278013795313903,-11.864756751942906,0.0,1971,7,23,4,57,0
-25.81891539433115,101.81295414647624,0.0,2001,11,26,16,5,0
-0.3489818462311973,-62.338419445491894,0.0,2002,2,1,2,36,0
8.814082360927785,-9.624597250827037,0.0,2008,12,29,16,43,0
-24.179231590161407,168.76574426481486,0.0,1995,1,18,0,16,0
49.665727423480135,-144.5395144024402,0.0,1988,9,24,13,14,0
-44.36297068937705,166.76657683849308,0.0,1974,1,13,11,6,0
-21.226493715051014,-172.54501881602292,0.0,2002,1,18,14,12,0
-15.450410054117903,-54.40287745066581,0.0,1978,8,8,0,39,0
-6.395911132757689,-158.23503256625204,0.0,1983,4,8,11,2,0
-9.626867738801742,44.89015762315947,0.0,2014,10,29,19,27,0
32.60897355808814,-124.40161385546357,0.0,1977,5,31,15,8,0
65.08895543429718,-78.84848988696064,0.0,1971,12,16,4,51,0
-31.12245095592884,-13.40730889446479,0.0,1975,8,18,13,41,0
63.6450658087014,-40.54165104390364,0.0,2000,11,20,8,5,0
-7.500036542401659,86.65661528597153,0.0,1987,12,23,21,22,0
50.28116956403481,51.481776525004506,0.0,1993,1,6,14,47,0
27.277988941182116,54.86093940789826,0.0,1997,9,5,9,46,0
-15.483442656637543,17.21246718292241,0.0,1980,5,17,4,46,0
-17.82237186207191,-123.83406565465529,0.0,2011,7,2,3,49,0
